video_file_name,audio_file_name,video_position,audio_position_start,audio_position_end,motorcycle_present,car_present,van_present,truck_present,bus_present
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,7923,0,5923,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,24733,16549,22733,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,49668,41007,47668,0,0,0,1,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,53270,47668,51270,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,68875,61604,66875,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,102202,93640,100202,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,111897,103386,109897,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,122571,114867,120571,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,133797,126148,131797,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,149201,136987,147201,0,0,0,0,1
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,182050,175293,180050,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,202964,191876,200964,0,0,0,0,1
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,220511,212379,218511,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,236462,228328,234462,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,247288,239953,245288,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,275766,255242,273766,0,0,0,1,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,287546,275602,285546,0,0,0,1,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,296975,287479,294975,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,323087,314288,321087,0,1,0,0,0
C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.avi,C:/Users/Guest/Documents/vehicle-type-recognition-based-on-audio-data/Darek_annotations/data/rec_0524060000.wav,333066,324865,331066,0,0,0,1,0
