file_path,class
data/additional/car/auto_30kph_pass1_1.wav,0
data/additional/car/auto_30kph_pass2_1.wav,0
data/additional/car/auto_30kph_pass3_1.wav,0
data/additional/car/auto_50kph_pass1_1.wav,0
data/additional/car/auto_50kph_pass2_1.wav,0
data/additional/car/meting1_auto_30kph_pass10_1.wav,0
data/additional/car/meting1_auto_30kph_pass1_1.wav,0
data/additional/car/meting1_auto_30kph_pass2_1.wav,0
data/additional/car/meting1_auto_30kph_pass3_1.wav,0
data/additional/car/meting1_auto_30kph_pass4_1.wav,0
data/additional/car/meting1_auto_30kph_pass5_1.wav,0
data/additional/car/meting1_auto_30kph_pass6_1.wav,0
data/additional/car/meting1_auto_30kph_pass7_1.wav,0
data/additional/car/meting1_auto_30kph_pass8_1.wav,0
data/additional/car/meting1_auto_30kph_pass9_1.wav,0
data/additional/car/meting1_auto_50kph_pass1_1.wav,0
data/additional/car/meting1_auto_50kph_pass2_1.wav,0
data/additional/car/meting1_auto_50kph_pass3_1.wav,0
data/additional/car/meting1_auto_50kph_pass4_1.wav,0
data/additional/car/meting1_auto_50kph_pass5_1.wav,0
data/additional/car/meting1_auto_50kph_pass6_1.wav,0
data/additional/car/meting1_auto_50kph_pass8_1.wav,0
data/additional/car/meting1_auto_50kph_pass9_1.wav,0
data/additional/motorcycle/meting1_scooter_30kph_pass1_1.wav,2
data/additional/motorcycle/meting1_scooter_30kph_pass2_1.wav,2
data/additional/motorcycle/meting1_scooter_30kph_pass3_1.wav,2
data/additional/motorcycle/meting1_scooter_30kph_pass4_1.wav,2
data/additional/motorcycle/meting1_scooter_30kph_pass5_1.wav,2
data/additional/motorcycle/meting1_scooter_30kph_pass6_1.wav,2
data/additional/motorcycle/meting1_scooter_50kph_pass1.wav,2
data/additional/motorcycle/meting1_scooter_50kph_pass3_1.wav,2
data/additional/motorcycle/meting1_scooter_50kph_pass4_1.wav,2
data/additional/motorcycle/meting1_scooter_50kph_pass5_1.wav,2
data/additional/motorcycle/meting1_scooter_50kph_pass6_1.wav,2
data/additional/motorcycle/scooter_30kph_1m_pass1_1.wav,2
data/additional/motorcycle/scooter_30kph_1m_pass2_1.wav,2
data/additional/motorcycle/scooter_30kph_1m_pass3_1.wav,2
data/additional/motorcycle/scooter_30kph_1m_pass4_1.wav,2
data/additional/motorcycle/scooter_30kph_2m_pass1_1.wav,2
data/additional/motorcycle/scooter_30kph_2m_pass2_1.wav,2
data/additional/motorcycle/scooter_30kph_2m_pass3_1.wav,2
data/additional/motorcycle/scooter_30kph_2m_pass4_1.wav,2
data/additional/motorcycle/scooter_30kph_3m_pass1_1.wav,2
data/additional/motorcycle/scooter_30kph_3m_pass2_1.wav,2
data/additional/motorcycle/scooter_30kph_3m_pass3_1.wav,2
data/additional/motorcycle/scooter_30kph_3m_pass4_1.wav,2
data/additional/motorcycle/scooter_50kph_1m_pass1_1.wav,2
data/additional/motorcycle/scooter_50kph_1m_pass2_1.wav,2
data/additional/motorcycle/scooter_50kph_1m_pass3_1.wav,2
data/additional/motorcycle/scooter_50kph_1m_pass4_1.wav,2
data/additional/motorcycle/scooter_50kph_2m_pass1_1.wav,2
data/additional/motorcycle/scooter_50kph_2m_pass2_1.wav,2
data/additional/motorcycle/scooter_50kph_2m_pass3_1.wav,2
data/additional/motorcycle/scooter_50kph_2m_pass4_1.wav,2
data/additional/motorcycle/scooter_50kph_3m_pass1_1.wav,2
data/additional/motorcycle/scooter_50kph_3m_pass2_1.wav,2
data/additional/motorcycle/scooter_50kph_3m_pass3_1.wav,2
data/additional/motorcycle/scooter_50kph_3m_pass4_1.wav,2
